Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,,,,
São Paulo,-23.62,-46.65,-3,802,,,,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2},,,
1,9,8,19,18.1,17.4,92.4,0.013915766,92,1.078,54.3,2,90,9,568,259,65,120,193,,,
1,9,9,20.6,19.1,18.1,92.5,0.014593232,87,1.072,57.6,3,90,9,848,386,97,138,289,,,
1,9,10,22,19,17.4,92.5,0.013871026,76,1.068,57.2,2,60,8,1084,574,233,275,342,,,
1,9,11,24.2,20.1,18.0,92.6,0.014488145,70,1.060,61.1,3,90,8,1260,668,271,285,398,,,
1,9,12,25,20.5,18.3,92.5,0.014753952,68,1.056,62.6,2,60,8,1366,724,293,294,431,,,
1,9,13,26,21,18.6,92.5,0.01507698,65,1.052,64.4,3,80,8,1392,905,603,611,302,,,
1,9,14,28.4,21,17.6,92.4,0.014095587,53,1.044,64.4,0,0,4,1338,977,778,846,198,,,
1,9,15,28.1,21,17.7,92.3,0.014239489,54,1.044,64.4,5,70,5,1207,839,628,781,211,,,
1,9,16,29.5,21.5,17.9,92.2,0.014431231,51,1.037,66.4,7,20,5,1009,701,524,805,177,,,
1,9,17,26.4,21,18.5,92.2,0.0149672,63,1.047,64.5,10,210,8,756,401,162,329,238,,,
1,9,18,19,18.2,17.5,92.2,0.014081417,93,1.075,54.7,5,200,10,466,172,21,53,152,,,
1,9,19,18.7,18,17.4,92.3,0.013923323,94,1.078,54.0,5,90,10,158,59,7,17,52,,,
1,9,20,20,19.2,18.6,92.3,0.015017065,93,1.071,58.1,3,40,10,0,0,0,0,0,,,
